Id;Platform;OsVersion;DeviceId;Model;AppVersion;TimezoneOffset;Culture;PushToken;LastModified
F5FBFF5E-1511-42A7-A6CB-000C495E17B2;1;7.1.2;e56e69488f84cdb3;vivo 1716;1.0;0;0;NULL;2018-09-08 05:22:44.803
DB656955-5DF4-46A3-A2E8-000D0D1DDF65;1;9;6bb4ee86c792878b;SM-J701F;1.0;0;0;NULL;2020-12-25 02:53:50.630
E71A5CC0-96A3-4EF2-A728-000F0FF415C5;1;10;68bf153ee5afe8d2;SM-N980F;1.0;0;0;NULL;2020-11-22 15:44:33.637
D07135FE-7D2B-4934-8662-0013E2673E61;1;8.1.0;43dbfba9c3873e0a;SM-J710F;1.0;0;0;NULL;2020-12-10 16:02:53.467
90C1148B-EA9F-42F6-8914-0018BD99DD46;1;5.0.2;1e2acf4a26e4631b;AO5510;1.0;0;0;dkHBv1lUFI0:APA91bEEWbHmB8AeZwRF1331jFvRQ_raXGw3j1di0pIRNO-9ddWld_TGxc2fEjJLibzg3ZR6QFVkeiPUT4NTn7s7ndM2WKKNFxDugbOZ9GRejl9QSVAdG08RB8jBgbFSZr8wjfSwFPiZ;2018-08-29 11:39:48.573
E3AECD88-285E-4A09-A35C-001AFB5D7A9D;1;10;088112a26f87edf3;LM-G910;1.0;0;0;NULL;2021-09-04 06:04:59.650
65E26500-3EED-42BC-976D-001B796416E2;1;8.1.0;468d8e0e2d3529e2;Redmi 5 Plus;1.0;0;1;NULL;2020-04-01 14:54:03.053
BED6429E-71C6-4483-AEC0-001E95D45089;1;7.0;6037ee11a052705a;Redmi Note 4;1.0;0;0;NULL;2018-10-17 02:58:58.250
9042B1EE-5D2E-4FA3-A872-0023F6D1AEEA;1;8.1.0;9146200cae6d7c48;CPH1819;1.0;0;0;cOEbJibtrWI:APA91bFtEQHyEfkkVbZAm3-du20TjCk9iSUlH57xpLefAxtwTmS3TWtMkUAjYctd3XZBVd-V9bEcvHns--Hr5_ao5NUeeIKbG-J8LG0dYlCW9Kt8b2JAQdkUDLEaB6TAKHHUaNxyo4gAgwVjAu5yKgfO0kreGL4-DA;2018-10-23 02:53:07.987
15CA6D1F-6CAE-4C10-A9CB-0024B350262E;1;7.1.2;276b72d4f08d9d19;Redmi 4A;1.0;0;1;NULL;2018-08-15 14:21:57.017
35F54469-0661-40CB-8D1D-002A64FAA7E7;1;8.1.0;30e383912827ea0a;Mi A1;1.0;0;0;NULL;2018-09-01 10:35:20.447
A88D3A4E-37A9-4E07-B09C-0035D7C0245E;1;10;632036d9518256ac;RMX2002;1.0;0;0;NULL;2020-12-28 06:48:16.750
E7FE1A93-87F9-4AAF-8D1D-003610FAA17B;1;5.0.2;dded318624552b67;vivo Y51L;1.0;0;0;NULL;2018-07-05 09:42:56.343
9B407E5D-73D3-4EE6-BE73-0038B420BA4C;1;8.1.0;2fc78d6b12d07c02;Redmi Y2;1.0;0;0;NULL;2018-08-08 04:34:48.903
A3D87DEB-5946-4F2E-9A9F-003A1C6BA834;1;5.1;21952c9ed3f46507;HTC Desire 830 dual sim;1.0;0;0;fIaKbCt5u_s:APA91bGbmlNI55b3KF4Dz1egAzPJhNGpmRy8k-HYJz31v92YvngnEOcBELRN9Dtl2Mll39OByEU0eCPzH8FeolaQsLZTDtHe8aEK9p-V4yfA8oBmFRTI1gqb_yyuhgEcr2DbE_UxSKvG;2019-02-20 04:15:33.213
4C32A938-B21C-4221-9ED5-003C12D18BCD;1;5.1;33dd6ba3e7e9b339;A1601;1.0;0;0;NULL;2018-07-15 08:12:23.707
58774B52-D29A-4549-8F32-003EADB7286B;1;8.1.0;e0ea9d055922f98d;LML413DL;1.0;0;0;NULL;2021-12-16 18:49:00.763
47AB7FDA-8C7C-4CE3-BE1A-004685B19AF0;1;9;7595271a94c89d14;RMX1831;1.0;0;0;NULL;2021-05-09 05:38:04.283
0FFB13C8-5ADA-493E-8145-004720205CA3;1;11;d04d0579e390fc9f;SM-M215F;1.0;0;0;NULL;2022-10-10 13:21:28.517
6192B768-0852-4F25-8929-004A166C2DF1;1;8.1.0;2a0c1cad97306776;Redmi Note 5 Pro;1.0;0;0;NULL;2018-11-06 16:09:35.163
511C22A0-5181-47DF-B244-004C1882031A;1;11;b12a2be1d0ca3081;SM-T870;1.0;0;0;NULL;2021-05-06 03:07:52.937
15DBCC42-F12F-4C35-BB5C-004D11167C96;1;8.1.0;5c2667ec87f8c159;SM-J260F;1.0;0;1;NULL;2020-08-18 12:04:11.737
4D8BB590-15CD-4436-8C78-004FA474A21B;1;8.0.0;3b1c4fb1395d7920;LG-H910;1.0;0;0;NULL;2020-12-13 01:25:23.010
5A348C94-4CDC-465A-B30D-005285809943;1;10;39527709a418fd71;ZS620KL;1.0;0;1;fxhNWHkDPeY:APA91bEWRSzruYgG8HXIfFS-esbzHL84av3_X3WfjggU3sbR71AgSjCJya-xUtSgpnJVcWaD7OkOs7Abjxfkh-rVURX4eIlnn1rOc2R2DkvQ2Xm2_4vjVWsshNY0CYIqxAv5oA1yb5GO;2021-03-02 13:35:38.167
1E797D62-24A0-4D46-9F31-005576CC1DDC;1;9;834f4523bd0843e9;SM-G955U;1.0;0;0;NULL;2022-09-30 02:59:02.897
756DD02A-7388-4483-8ECA-005F75E6E96C;1;7.1.2;aff4de29bd74dab5;Redmi Note 5;1.0;0;0;NULL;2018-08-31 08:29:31.123
91612154-9CE9-42E7-8FBE-0060E9780BF8;1;8.0.0;78602db928a9cf6d;LND-L29;1.0;0;1;NULL;2021-07-09 00:16:48.180
56409460-9C12-43BB-ABA3-006A96BBA897;1;8.1.0;3d57e4e265cb052a;Redmi Note 5 Pro;1.0;0;0;NULL;2018-11-16 15:10:09.407
ABCF36F9-3C0C-4325-A8B8-007F3D938B80;1;8.0.0;cb91e3b3b054e7a5;BND-AL10;1.0;0;0;cilVCwPUcWU:APA91bF_uUOazZr0KQOYHgYt9Lsk0frDysU0odCR-K9AY4X17zY43BP225iJl1ZwtmuUcOVKg3IamMk-MPIATDBsFGfI3QQtn2FcbF7h7FCyi2tLYIbYHHITXIqCXT7NUGVOizW5Q-JsvMCWajXjq-9XYwbY5nzKYQ;2018-08-01 13:15:32.160
25F02B71-F4D1-411E-AD0A-008582230198;1;11;3dd7c783ea4be159;IN2021;1.0;0;0;NULL;2021-05-14 09:01:39.960
E33892C4-C22C-49C0-8E9F-00889E99719D;1;7.0;e369a9bd52b078d2;Redmi Note 4;1.0;0;0;NULL;2018-11-09 15:51:23.840
963334FE-72F1-4A09-9BE3-0089642A88C1;1;7.1.1;3cd07b6b6acd26db;CPH1723;1.0;0;0;NULL;2018-07-20 03:31:23.943
4EAB0115-790A-402C-B03E-008AB33D6773;1;10;d3e2412c41f56d65;RMX1807;1.0;0;0;NULL;2021-05-04 16:50:44.340
58E0FDD4-5073-4ADF-A1E0-008D1E4CA6BF;1;7.1.1;35cf0ddb82c323dc;Moto G (5S);1.0;0;0;NULL;2018-08-07 07:41:11.880
F15360C0-13AF-4973-B3DD-008E1DBA4E8D;1;11;b69ce58de6878a54;V2040;1.0;0;0;NULL;2022-01-02 13:13:13.850
EA3A8DDD-2CA6-4159-8BC7-00937B8F398D;1;8.1.0;989c7488399bdf68;SM-J730GM;1.0;0;0;NULL;2018-11-09 10:35:05.667
00770BA2-3AA4-4D95-84FF-009600C33A89;1;10;9d6621210b72979c;POT-LX1;1.0;0;0;NULL;2020-03-12 11:34:33.120
F25875BA-3453-4333-A8D0-00984ABB92D9;1;7.0;eb81542ef7d04866;Redmi Note 4;1.0;0;0;NULL;2018-11-28 13:10:31.530
53071DB5-48E4-448E-B276-0099D7B52795;1;8.1.0;90465b18b10baac9;CPH1803;1.0;0;0;dAEQ7y6XllA:APA91bET5Bf0PHfDi_qrcDmOkaQSRRX6vWcbzK60qJm4M083OFNx_hEKWDovn-KN5ei0kqkkgZiyOdd2NW8x1PvwHms0Cb7mwHjkR7qZ9BFI352c8wOJklamsXNjUBw68cmmHR9xnn0-;2021-02-28 10:10:05.080
526A90EA-536B-4AE2-B22D-009A7C2E8F24;1;6.0.1;b9a67d471a4a366e;Redmi 3S;1.0;0;1;NULL;2018-10-21 09:12:05.757
62D0BB71-D9B6-47DC-B4DA-009D9D5F1271;1;10;1e6da9c4027fd83d;SM-N960F;1.0;0;0;NULL;2020-08-12 12:25:28.967
BD09B0CD-0768-49FE-A382-009FD8751242;1;10;78b5a4381ea5bda5;ONEPLUS A5010;1.0;0;0;NULL;2021-03-29 09:40:33.090
F667835D-54FC-42E5-B578-00A02BBB9009;1;6.0.1;61752e278bf6b4d3;Lenovo P1a42;1.0;0;0;NULL;2018-06-25 01:38:33.697
6110D0A8-A998-4A7D-9CC7-00A0B505D6B5;1;7.0;82fb42afcc8d7a51;BQru-5035;1.0;0;1;NULL;2020-05-14 09:32:32.680
16096ABC-06C4-48EB-B07C-00A14BD2E0F2;1;5.1.1;df1bbecfafcfe574;Redmi 3;1.0;0;1;NULL;2019-07-12 07:04:47.647
1D3A1216-7DD5-4C97-A177-00A1DD9D4222;1;11;461ab9e3d4ccea2c;SM-M515F;1.0;0;0;NULL;2021-05-15 17:47:08.037
49CADF15-4426-4015-AF87-00A45A1FBA45;1;7.0;f6832088efe714c6;SM-G615F;1.0;0;0;NULL;2018-08-15 04:21:07.387
082F12DD-2052-4ED8-A01B-00A82DF6B89A;1;7.0;e5eab227540fc7b8;Moto G (4);1.0;0;0;NULL;2018-09-09 11:54:35.247
155E275A-6208-4D5D-B19B-00A86DF87561;1;6.0.1;89835240bfcfd64c;SM-G550FY;1.0;0;0;NULL;2018-09-24 17:43:32.803
609006AA-E474-4F91-A230-00B065C9F6A8;1;10;78adfd2f25a0f49e;I4113;1.0;0;1;dbb6qboeb0A:APA91bFaAr8U1uEw455CLQqtkz4Bsv2IC-HxFUcvm45TrNHCQd94F8Zek0z44VqLAVdd0I9njvIrioPR4DaU7S3A47eO2gtEcA2avVaxEEyvBYtvB9FqG5wNNwZF_qh0OHUMVHHHg4dm;2021-03-31 07:10:45.100
0FDB2B72-75A7-4765-8328-00B0CC8554E8;1;7.0;4acaf207f121c359;Moto G (5) Plus;1.0;0;0;NULL;2018-07-17 06:04:22.920
F700D2DD-F214-48B0-BE7F-00B479E60B7E;1;6.0;af9bd3e60f452e98;CPH1609;1.0;0;0;NULL;2018-12-23 19:23:26.303
4EB76527-8B47-4A83-9357-00BB83B62B63;1;7.0;6a8bf97b248dc65;M6T;1.0;0;0;NULL;2020-08-15 07:46:50.973
1C4367A5-6B1F-4EAF-A909-00BB8C23806B;1;10;3bb1f2f8bf9ae033;SM-J400F;1.0;0;0;NULL;2021-02-13 01:24:39.527
9AF0815B-3809-4422-B341-00C486A2BF26;1;7.1.1;c51084f1a3dab73c;MI MAX 2;1.0;0;0;NULL;2018-11-17 01:26:35.473
A64E8680-503F-436B-A525-00C5B3CC5B29;1;9;416b21b047a8bdec;Redmi Note 6 Pro;1.0;0;0;NULL;2020-11-07 17:04:20.677
5BBDC230-60A1-45AF-BD35-00C6358784A2;1;10;c389f908ca02e195;Mi A2;1.0;0;0;NULL;2021-06-02 09:09:18.413
DF9DFDE9-63F6-4324-9B0A-00CA4A67426E;1;11;6b58fcf88ddb1d87;HD1901;1.0;0;0;cGoes78Owc4:APA91bHndwhu-2FThkSkFoiBfcsTQFhprgu2gRtnRuLkRAXKE2aEkMjYOV9VEOmwpK-1_pTfpr8aa1z6LdQqIkN6c4KtR0mrcecTtVHbKsCKPSgmglLTZgbkGTVe5aS8iqeNGfFVcISu;2022-10-16 07:59:41.563
BAB3C8FD-A769-4252-A049-00CC8ADB6DD0;1;11;fd5840229f27aa38;SM-M315F;1.0;0;0;NULL;2021-12-02 17:37:31.967
C6C9F258-3BD6-4E53-AEF3-00D1FFFC2A00;1;11;3fed8cc34116e767;SM-N970F;1.0;0;0;NULL;2022-08-17 10:17:24.463
7D31BB1A-BC93-4963-A47E-00D951111A63;1;8.1.0;e9aa1ea5818f533b;Redmi 6;1.0;0;0;NULL;2019-10-11 21:38:28.313
CFADF4AC-5F67-4D74-9CB2-00DA8DEE58BE;1;8.1.0;3defc7140168287d;LML413DL;1.0;0;0;NULL;2020-03-14 00:02:53.787
